start_time,end_time,goes_class
2011-12-29 21:43:00,2011-12-29 21:59:00,M2.0
2011-12-30 03:03:00,2011-12-30 03:13:00,M1.2
2011-12-31 13:09:00,2011-12-31 13:19:00,M2.4
2011-12-31 16:16:00,2011-12-31 16:34:00,M1.5
2012-01-14 13:14:00,2012-01-14 13:20:00,M1.4
2012-01-17 04:41:00,2012-01-17 05:07:00,M1.0
2012-01-18 19:04:00,2012-01-18 19:27:00,M1.7
2012-01-19 13:44:00,2012-01-19 17:50:00,M3.2
2012-01-23 03:38:00,2012-01-23 04:34:00,M8.7
2012-02-06 19:31:00,2012-02-06 20:17:00,M1.0
2012-03-02 17:29:00,2012-03-02 18:07:00,M3.3
2012-03-04 10:29:00,2012-03-04 12:16:00,M2.0
2012-03-05 19:10:00,2012-03-05 19:21:00,M2.1
2012-03-05 19:27:00,2012-03-05 19:32:00,M1.8
2012-03-05 22:26:00,2012-03-05 22:42:00,M1.3
2012-03-06 00:22:00,2012-03-06 00:31:00,M1.3
2012-03-06 01:36:00,2012-03-06 01:50:00,M1.2
2012-03-06 04:01:00,2012-03-06 04:08:00,M1.0
2012-03-06 07:52:00,2012-03-06 08:00:00,M1.0
2012-03-06 12:23:00,2012-03-06 12:54:00,M2.1
2012-03-06 22:49:00,2012-03-06 23:11:00,M1.0
2012-03-09 03:22:00,2012-03-09 04:18:00,M6.3
2012-03-10 17:15:00,2012-03-10 18:30:00,M8.4
2012-03-13 17:12:00,2012-03-13 18:25:00,M7.9
2012-03-14 15:08:00,2012-03-14 15:36:00,M2.8
2012-03-15 07:23:00,2012-03-15 08:08:00,M1.8
2012-03-17 20:32:00,2012-03-17 20:42:00,M1.3
2012-03-23 19:34:00,2012-03-23 19:44:00,M1.0
2012-04-16 17:24:00,2012-04-16 18:00:00,M1.7
2012-04-27 08:15:00,2012-04-27 08:29:00,M1.0
2012-05-05 13:19:00,2012-05-05 13:29:00,M1.4
2012-05-05 22:56:00,2012-05-05 23:04:00,M1.3
2012-05-06 17:41:00,2012-05-06 17:52:00,M1.3
2012-05-07 14:03:00,2012-05-07 14:52:00,M1.9
2012-05-08 13:02:00,2012-05-08 13:12:00,M1.4
2012-05-09 12:21:00,2012-05-09 12:36:00,M4.7
2012-05-09 14:02:00,2012-05-09 14:14:00,M1.8
2012-05-09 21:01:00,2012-05-09 21:09:00,M4.1
2012-05-10 04:11:00,2012-05-10 04:23:00,M5.7
2012-05-10 20:20:00,2012-05-10 20:30:00,M1.7
2012-05-17 01:25:00,2012-05-17 02:14:00,M5.1
2012-06-03 17:48:00,2012-06-03 17:57:00,M3.3
