logte,A94,A131,A171,A193,A211,A304,A335
6.0,1.5549829947425e-27,1.2146650133796819e-26,9.507429626387328e-25,2.8718909843709524e-25,4.8859590623592554e-26,6.2731523641191445e-27,4.631562159587416e-27
6.0500002,1.5057317754345378e-27,7.83280685347626e-27,6.473770329943911e-25,4.015436840910376e-25,5.692573052224824e-26,6.464457504763841e-27,4.307163550530616e-27
6.0999999,1.304978584192048e-27,5.2151862345157385e-27,3.644841679669045e-25,5.469831862830835e-25,7.328955773048463e-26,7.813143340160283e-27,3.9560190085597464e-27
6.1500001,1.0516213258564448e-27,3.687089123144892e-27,1.7073786970927043e-25,6.525928319526645e-25,1.0477941614406277e-25,1.040204553841648e-26,3.544941732268544e-27
6.1999998,8.745600087950709e-28,2.701764428252448e-27,6.951755569476545e-26,6.254815184115576e-25,1.5223449795854948e-25,1.2555525475664332e-26,3.302520927799425e-27
6.25,8.233919911428747e-28,2.029238245885022e-27,3.0782173661404224e-26,4.451646179543867e-25,1.9099496858389017e-25,1.1878978144410694e-26,3.688253746267322e-27
6.3000002,7.576003686833129e-28,1.5884483569737349e-27,2.3169049415752983e-26,2.205469717484003e-25,1.7653646495000098e-25,8.773117606798654e-27,4.828703014792494e-27
6.3499999,5.574061554538947e-28,1.3008188741886852e-27,2.381009322686022e-26,7.937263362610166e-26,1.1388023154732125e-25,5.6155955557057895e-27,5.954784223520565e-27
6.4000001,3.6188685093691444e-28,1.102358059771157e-27,1.9345812524562987e-26,2.732981142691531e-26,5.734668928096801e-26,3.463178151661857e-27,6.2541636583793526e-27
6.4499998,2.9419577909229035e-28,9.593812806787284e-28,1.0030980245307738e-26,1.2816857045643762e-26,2.64114527404402e-26,2.1845495490348876e-27,5.819496754937006e-27
6.5,3.643839098946617e-28,8.505028788561086e-28,3.840376104084329e-27,8.85007213152796e-27,1.2383623305000282e-26,1.4632729649434423e-27,5.0540254697017954e-27
6.5500002,5.6587629746254755e-28,7.610371044289076e-28,1.757192886247368e-27,7.658491302438927e-27,6.494761270445578e-27,1.0604626935131027e-27,4.208474328114331e-27
6.5999999,9.047064944703835e-28,6.861792550457511e-28,1.3055475730650072e-27,7.122045399995069e-27,4.201658748767903e-27,8.278226797823036e-28,3.393492165749968e-27
6.6500001,1.3855608713114582e-27,6.317194239857004e-28,1.1907185281323884e-27,7.139269823610376e-27,3.357826418007246e-27,6.942833689123462e-28,2.6520571200204865e-27
6.6999998,1.9880166723552137e-27,6.146465576984717e-28,1.0210240511614913e-27,7.68663287548252e-27,2.8402484000786314e-27,6.27415537415524e-28,1.998752259610879e-27
6.75,2.6419668703029596e-27,6.834883358994198e-28,7.8958767090363625e-28,7.729274636365714e-27,2.202953469733798e-27,6.000957408688489e-28,1.4440853163878056e-27
6.8000002,3.212572087632612e-27,9.853703041959066e-28,6.026573418224104e-28,6.566052520436633e-27,1.5531150141434866e-27,5.790089929878459e-28,9.997791072016636e-28
6.8499999,3.517445513803885e-27,1.8882999260561653e-27,4.989334151429484e-28,4.855349130316407e-27,1.0774305879641322e-27,5.430336081691247e-28,6.806330712273092e-28
6.9000001,3.394197870165318e-27,4.02658032377253e-27,4.595623992393159e-28,3.4050359471593465e-27,7.79502270866304e-28,4.876425560812418e-28,5.094704981022333e-28
6.9499998,2.8124001778407532e-27,7.878450042270259e-27,4.587517671495077e-28,2.555154005755453e-27,5.950815286105829e-28,4.157890265139208e-28,4.957594840038704e-28
7.0,1.942820749214651e-27,1.2631991475919005e-26,4.607690079872272e-28,2.704829010435364e-27,4.832974192029843e-28,3.3542293588066388e-28,5.8947809141712885e-28
7.0500002,1.0928650380743726e-27,1.5572821679013532e-26,4.350849740358448e-28,4.832660745599525e-27,4.260673104258218e-28,2.5918807196892676e-28,6.6024940312510235e-28
7.0999999,4.995785863268014e-28,1.4329565350688472e-26,3.8374942047782567e-28,9.651773864232446e-27,4.046725860227912e-28,1.9833784609260457e-28,5.9306758093301635e-28
7.1500001,1.9780967779296263e-28,1.0068325470518546e-26,3.3325573699852233e-28,1.5546303700922163e-26,3.9629756072697035e-28,1.5622480173230555e-28,4.188329648998151e-28
7.1999998,8.039113543393825e-29,5.878650667296791e-27,2.9849765365645394e-28,1.9604827576130213e-26,3.855775543324789e-28,1.2859987230248755e-28,2.5119170180035357e-28
7.25,4.1743092293482617e-29,3.193041105280527e-27,2.762648794815875e-28,2.0759999626521984e-26,3.690458756775332e-28,1.0934113536082031e-28,1.4364039463389907e-28
7.3000002,2.9541286997974536e-29,1.7749344445280216e-27,2.6022338008881785e-28,1.9825052292786923e-26,3.4934186705257826e-28,9.444883785320077e-29,8.625951392774805e-29
7.3499999,2.548382734197082e-29,1.0702892398291685e-27,2.4702712457606197e-28,1.7885381638702405e-26,3.2919019228555777e-28,8.210967735717211e-29,5.718507256498307e-29
7.4000001,2.377513518765162e-29,7.151685816878118e-28,2.354215966866645e-28,1.565100876430743e-26,3.099782519618934e-28,7.153067032918498e-29,4.2081157080223897e-29
7.4499998,2.2789993600127885e-29,5.2638045848739545e-28,2.248895097831682e-28,1.344879945385895e-26,2.9206669473742357e-28,6.239629592944757e-29,3.3705510342198446e-29
7.5,2.204073519861536e-29,4.186776112298198e-28,2.1518605871025325e-28,1.1416831920926873e-26,2.7547093482301253e-28,5.454852421244927e-29,2.8667389441030145e-29
7.5500002,2.1369442523763587e-29,3.5248681797629094e-28,2.0614967608743974e-28,9.588859478095386e-27,2.6012444306637775e-28,4.7876209037383415e-29,2.5378305855200336e-29
7.5999999,2.0741846626066308e-29,3.0891779274548703e-28,1.9766186180130529e-28,7.95692200585205e-27,2.4587359369248477e-28,4.227386135841249e-29,2.3070181529792905e-29
7.6500001,2.012998264897754e-29,2.7842654269981335e-28,1.896508633345605e-28,6.51342886062036e-27,2.3265372646572887e-28,3.761222575363252e-29,2.1347691835940725e-29
7.6999998,1.9529287424652131e-29,2.5597897848223675e-28,1.820522216059917e-28,5.237922903642479e-27,2.2038559942504493e-28,3.371934101407694e-29,1.9996396626180133e-29
7.75,1.893885301458172e-29,2.3871670127334946e-28,1.7484315409101273e-28,4.1312133448519755e-27,2.0905778823420585e-28,3.0454515333582257e-29,1.8891721238017917e-29
7.8000002,1.8358330539844832e-29,2.249442242400961e-28,1.6799888782224603e-28,3.1881064100691624e-27,1.9865024422042794e-28,2.76727513927491e-29,1.7957596994384818e-29
7.8499999,1.7787778103951368e-29,2.1358781667428723e-28,1.6150412716872936e-28,2.407192885263617e-27,1.8913895417121164e-28,2.528612997822345e-29,1.714505354638771e-29
7.9000001,1.7227331714243253e-29,2.0393416361780095e-28,1.5534170063756975e-28,1.7829237084961585e-27,1.8047590868825797e-28,2.3204711305345004e-29,1.6421184989434578e-29
7.9499998,1.6676976209648633e-29,1.9547776487706122e-28,1.494891911859772e-28,1.3043775290155505e-27,1.7258280301772186e-28,2.1381166786895752e-29,1.5762500716681723e-29
8.0,1.6136389498403623e-29,1.8785931897032533e-28,1.4391446536648868e-28,9.524942890799589e-28,1.6534758020079266e-28,1.9762529653454052e-29,1.5151892096234932e-29
8.0500002,1.5606012221701662e-29,1.8083193235059496e-28,1.3858880058080887e-28,7.037145047676819e-28,1.58659910607239e-28,1.8322687800838599e-29,1.4577686949270315e-29
8.1000004,1.5085749402419564e-29,1.7422126062355783e-28,1.3347904699238939e-28,5.335469168815172e-28,1.5240995196108434e-28,1.702895152451031e-29,1.4031283500494187e-29
8.1499996,1.4576288871284812e-29,1.6792207406985269e-28,1.2856263919306723e-28,4.197984603131138e-28,1.4651373258772336e-28,1.5867255519213108e-29,1.3507614171517956e-29
